number_of_game,winner,cur_reward,avg100_reward,avgall_reward,epsilon,win3,win2,win1,avg3,avg2,avg1
200,3,700,2035.5,2302.4875621890546,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
201,3,600,2044.5,2294.059405940594,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
202,0,7100,2111.5,2317.733990147783,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
203,3,900,2048.5,2310.7843137254904,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
204,3,100,2052.0,2300.0,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
205,2,1150,2054.5,2294.4174757281553,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
206,2,1400,1995.0,2290.096618357488,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
207,2,950,1996.5,2283.653846153846,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
208,2,50,1927.5,2272.9665071770337,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
209,3,100,1925.5,2262.6190476190477,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
210,2,-500,1854.0,2249.526066350711,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
211,2,-200,1847.0,2237.9716981132074,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
212,2,800,1848.5,2231.220657276995,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
213,2,1000,1847.0,2225.467289719626,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
214,3,750,1851.0,2218.6046511627906,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
215,2,700,1855.5,2211.574074074074,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
216,2,550,1855.0,2203.917050691244,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
217,2,450,1790.0,2195.8715596330276,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
218,2,950,1728.5,2190.1826484018266,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
219,0,6300,1788.5,2208.8636363636365,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
220,0,6950,1790.0,2230.316742081448,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
221,3,50,1779.0,2220.4954954954956,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
222,2,150,1702.0,2211.2107623318384,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
223,2,750,1709.5,2204.6875,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
224,3,700,1712.5,2198.0,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
225,3,150,1715.0,2188.9380530973453,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
226,3,550,1715.0,2181.718061674009,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
227,3,1150,1662.5,2177.1929824561403,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
228,0,6700,1654.5,2196.943231441048,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
229,2,400,1585.0,2189.1304347826085,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
230,3,250,1583.0,2180.7359307359307,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
231,2,550,1582.0,2173.706896551724,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
232,2,-300,1509.5,2163.0901287553647,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
233,3,350,1508.5,2155.3418803418804,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
234,2,800,1507.0,2149.574468085106,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
235,3,150,1501.5,2141.101694915254,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
236,3,-250,1490.0,2131.012658227848,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
237,0,6800,1490.5,2150.63025210084,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
238,0,6600,1551.0,2169.246861924686,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
239,2,300,1547.0,2161.4583333333335,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
240,2,750,1545.5,2155.6016597510375,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
241,3,950,1488.0,2150.619834710744,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
242,2,600,1483.5,2144.238683127572,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
243,0,6700,1540.5,2162.909836065574,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
244,0,6450,1603.5,2180.408163265306,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
245,0,7400,1604.0,2201.6260162601625,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
246,3,-500,1585.5,2190.6882591093117,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
247,0,6850,1646.5,2209.4758064516127,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
248,2,850,1648.5,2204.016064257028,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
249,0,7300,1718.0,2224.4,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
250,3,1850,1735.5,2222.9083665338644,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
251,0,6500,1792.5,2239.8809523809523,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
252,0,6650,1856.5,2257.312252964427,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
253,0,6800,1921.5,2275.196850393701,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
254,0,7250,1989.5,2294.705882352941,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
255,3,-100,1983.0,2285.3515625,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
256,0,6950,2048.0,2303.501945525292,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
257,0,6850,2109.5,2321.124031007752,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
258,0,6650,2166.0,2337.837837837838,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
259,2,650,2175.0,2331.346153846154,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
260,3,300,2185.0,2323.5632183908046,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
261,2,-100,2176.5,2314.312977099237,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
262,2,300,2176.0,2306.6539923954374,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
263,0,7750,2246.0,2327.2727272727275,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
264,2,700,2251.5,2321.132075471698,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
265,0,6750,2318.0,2337.781954887218,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
266,0,6900,2384.5,2354.868913857678,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
267,3,50,2316.0,2346.268656716418,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
268,3,950,2257.0,2341.0780669144983,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
269,0,6950,2321.5,2358.1481481481483,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
270,0,6950,2323.0,2375.0922509225093,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
271,2,600,2336.5,2368.5661764705883,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
272,2,750,2340.5,2362.6373626373625,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
273,2,1050,2349.5,2357.8467153284673,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
274,3,900,2287.5,2352.5454545454545,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
275,2,250,2285.5,2344.927536231884,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
276,2,600,2284.0,2338.6281588447655,1,32.0,25.0,32.0,2790.5,2367.0,2731.0
