number_of_game,winner,cur_reward,avg100_reward,avgall_reward,epsilon
189,1,800,1760.5,1662.3684210526317,1
190,0,6950,1761.0,1690.0523560209424,1
191,3,1000,1771.5,1686.4583333333333,1
192,0,6150,1824.5,1709.5854922279793,1
193,3,-50,1816.5,1700.5154639175257,1
194,2,600,1820.0,1694.871794871795,1
195,3,50,1751.5,1686.4795918367347,1
196,1,100,1752.5,1678.4263959390862,1
197,2,1250,1763.0,1676.2626262626263,1
198,1,850,1769.0,1672.110552763819,1
199,0,7350,1841.0,1700.5,1
200,2,100,1840.5,1692.5373134328358,1
201,1,300,1836.5,1685.6435643564357,1
202,3,900,1782.5,1681.7733990147783,1
203,3,650,1790.5,1676.7156862745098,1
204,2,550,1796.5,1671.219512195122,1
205,3,-500,1787.5,1660.6796116504854,1
206,3,-700,1783.0,1649.2753623188405,1
207,2,400,1790.5,1643.2692307692307,1
208,2,-850,1775.0,1631.3397129186603,1
209,3,300,1768.5,1625.0,1
210,1,550,1762.0,1619.9052132701422,1
211,0,6900,1834.5,1644.811320754717,1
212,1,600,1831.0,1639.906103286385,1
213,3,0,1821.0,1632.2429906542056,1
214,2,-300,1819.0,1623.2558139534883,1
215,1,600,1818.5,1618.5185185185185,1
216,1,750,1822.0,1614.516129032258,1
217,0,6450,1882.5,1636.697247706422,1
218,0,7000,1938.0,1661.1872146118722,1
219,0,7150,2003.5,1686.1363636363637,1
220,1,200,1998.5,1679.4117647058824,1
221,1,100,1998.0,1672.2972972972973,1
222,2,2100,1945.0,1674.2152466367713,1
223,2,650,1953.0,1669.642857142857,1
224,2,700,1953.5,1665.3333333333333,1
225,2,1050,1896.0,1662.6106194690265,1
226,2,-250,1884.0,1654.1850220264316,1
227,0,7400,1955.5,1679.3859649122808,1
228,0,7400,2014.5,1704.3668122270742,1
229,2,200,2009.5,1697.8260869565217,1
230,2,450,2017.0,1692.4242424242425,1
231,1,-300,2017.0,1683.8362068965516,1
232,3,950,1953.0,1680.6866952789699,1
233,1,650,1953.0,1676.2820512820513,1
234,2,-950,1939.0,1665.1063829787233,1
235,1,200,1935.5,1658.8983050847457,1
236,0,7050,1934.5,1681.6455696202531,1
237,1,1000,1874.5,1678.781512605042,1
238,2,1200,1891.5,1676.7782426778242,1
239,1,900,1897.0,1673.5416666666667,1
240,0,6750,1968.0,1694.6058091286307,1
241,2,450,1965.5,1689.4628099173553,1
242,2,-200,1959.5,1681.687242798354,1
243,2,600,1959.0,1677.2540983606557,1
244,1,300,1889.0,1671.6326530612246,1
245,1,-100,1893.5,1664.4308943089432,1
246,1,350,1892.0,1659.1093117408907,1
247,2,750,1894.0,1655.4435483870968,1
248,2,0,1889.5,1648.7951807228915,1
249,2,450,1823.0,1644.0,1
250,3,750,1821.5,1640.4382470119522,1
251,3,850,1821.0,1637.3015873015872,1
252,0,6750,1881.0,1657.509881422925,1
253,0,7150,1888.5,1679.1338582677165,1
254,1,250,1818.0,1673.5294117647059,1
255,0,6950,1879.0,1694.140625,1
256,1,350,1808.0,1688.9105058365758,1
257,0,6950,1883.5,1709.3023255813953,1
258,1,0,1881.5,1702.7027027027027,1
259,3,1050,1878.0,1700.1923076923076,1
260,3,550,1816.5,1695.7854406130268,1
261,0,5950,1869.0,1712.0229007633588,1
262,2,250,1871.0,1706.463878326996,1
263,2,1500,1878.0,1705.6818181818182,1
264,2,-650,1807.5,1696.7924528301887,1
265,0,6850,1809.0,1716.1654135338347,1
266,2,-50,1744.5,1709.5505617977528,1
267,0,6700,1734.0,1728.1716417910447,1
268,1,1250,1746.0,1726.3940520446097,1
269,2,100,1750.5,1720.3703703703704,1
270,0,7100,1813.5,1740.2214022140222,1
271,0,6150,1871.5,1756.4338235294117,1
272,0,7000,1936.5,1775.6410256410256,1
273,2,0,1867.5,1769.1605839416059,1
274,3,1000,1883.0,1766.3636363636363,1
275,2,600,1828.0,1762.1376811594203,1
276,0,6750,1889.5,1780.1444043321299,1
277,2,-650,1877.0,1771.4028776978416,1
278,3,-200,1877.0,1764.336917562724,1
279,2,800,1875.5,1760.892857142857,1
280,2,350,1880.0,1755.8718861209964,1
281,1,-200,1807.0,1748.936170212766,1
282,0,7150,1873.0,1768.0212014134277,1
283,1,1600,1891.5,1767.4295774647887,1
284,3,850,1907.0,1764.2105263157894,1
285,1,200,1905.5,1758.7412587412587,1
286,1,1150,1912.0,1756.6202090592335,1
287,1,50,1898.0,1750.6944444444443,1
288,3,200,1893.5,1745.3287197231834,1
289,1,200,1887.5,1740.0,1
290,3,1050,1828.5,1737.6288659793815,1
